Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Pull Up (Assisted)";1;50;kg;10;;;;0;"";"Allenamento dorsali, tricipiti e addominali";1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Pull Up (Assisted)";2;50;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Pull Up (Assisted)";3;50;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Pull Up (Assisted)";4;50;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Seated Row (Cable)";1;30;kg;20;;;;0;"";;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Seated Row (Cable)";2;45;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Seated Row (Cable)";3;50;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Seated Row (Cable)";4;50;kg;8;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";1;30;kg;20;;;;0;"";;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";2;50;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";3;50;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";4;50;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";1;50;kg;15;;;;0;"";;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";2;35;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";3;35;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";4;35;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";1;8;kg;15;;;;0;"";;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";2;12;kg;6;;;;0;;;1h 16m
